date,deaths,daily_deaths
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,1,0
2020-01-25,1,0
2020-01-26,1,0
2020-01-27,1,0
2020-01-28,1,0
2020-01-29,1,0
2020-01-30,1,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,1,0
2020-02-03,1,0
2020-02-04,1,0
2020-02-05,1,0
2020-02-06,1,0
2020-02-07,1,0
2020-02-08,1,0
2020-02-09,1,0
2020-02-10,1,0
2020-02-11,1,0
2020-02-12,1,0
2020-02-13,1,0
2020-02-14,1,0
2020-02-15,1,0
2020-02-16,1,0
2020-02-17,1,0
2020-02-18,1,0
2020-02-19,1,0
2020-02-20,1,0
2020-02-21,1,0
2020-02-22,1,0
2020-02-23,1,0
2020-02-24,1,0
2020-02-25,1,0
2020-02-26,1,0
2020-02-27,1,0
2020-02-28,1,0
2020-02-29,2,1
2020-03-01,2,0
2020-03-02,7,5
2020-03-03,8,1
2020-03-04,12,4
2020-03-05,13,1
2020-03-06,15,2
2020-03-07,18,3
2020-03-08,22,4
2020-03-09,24,2
2020-03-10,29,5
2020-03-11,34,5
2020-03-12,45,11
2020-03-13,52,7
2020-03-14,61,9
2020-03-15,72,11
2020-03-16,97,25
2020-03-17,133,36
2020-03-18,198,65
2020-03-19,273,75
2020-03-20,378,105
2020-03-21,482,104
2020-03-22,603,121
2020-03-23,790,187
2020-03-24,1033,243
2020-03-25,1366,333
2020-03-26,1783,417
2020-03-27,2305,522
2020-03-28,3018,713
2020-03-29,3573,555
2020-03-30,4280,707
2020-03-31,5359,1079
2020-04-01,6989,1630
2020-04-02,8535,1546
2020-04-03,9971,1436
2020-04-04,11590,1619
2020-04-05,13227,1637
2020-04-06,14989,1762
2020-04-07,17595,2606
2020-04-08,19747,2152
2020-04-09,22003,2256
2020-04-10,24160,2157
2020-04-11,26295,2135
2020-04-12,28203,1908
2020-04-13,30204,2001
2020-04-14,32685,2481
2020-04-15,35284,2599
2020-04-16,37479,2195
2020-04-17,39583,2104
2020-04-18,41521,1938
2020-04-19,43510,1989
2020-04-20,45768,2258
2020-04-21,48245,2477
2020-04-22,50711,2466
2020-04-23,53138,2427
2020-04-24,55201,2063
2020-04-25,56939,1738
2020-04-26,58354,1415
2020-04-27,59840,1486
2020-04-28,62072,2232
2020-04-29,64446,2374
2020-04-30,66636,2190
2020-05-01,68516,1880
2020-05-02,70289,1773
2020-05-03,71492,1203
2020-05-04,72862,1370
2020-05-05,75041,2179
2020-05-06,77359,2318
2020-05-07,79262,1903
2020-05-08,81031,1769
2020-05-09,82502,1471
2020-05-10,83503,1001
2020-05-11,84529,1026
2020-05-12,86119,1590
2020-05-13,87814,1695
2020-05-14,89579,1765
2020-05-15,91205,1626
2020-05-16,92374,1169
2020-05-17,93190,816
2020-05-18,94412,1222
2020-05-19,95840,1428
2020-05-20,97309,1469
2020-05-21,98491,1182
2020-05-22,99695,1204
2020-05-23,100773,1078
2020-05-24,101410,637
2020-05-25,102010,600
2020-05-26,102663,653
2020-05-27,104115,1452
2020-05-28,105180,1065
2020-05-29,106289,1109
2020-05-30,107236,947
2020-05-31,107857,621
2020-06-01,108624,767
2020-06-02,109603,979
2020-06-03,110603,1000
2020-06-04,111601,998
2020-06-05,112470,869
2020-06-06,113108,638
2020-06-07,113568,460
2020-06-08,114070,502
2020-06-09,114979,909
2020-06-10,115836,857
2020-06-11,116643,807
2020-06-12,117466,823
2020-06-13,118174,708
2020-06-14,118522,348
2020-06-15,118920,398
2020-06-16,119695,775
2020-06-17,120436,741
2020-06-18,121133,697
2020-06-19,121760,627
2020-06-20,122323,563
2020-06-21,122642,319
2020-06-22,123021,379
2020-06-23,123751,730
2020-06-24,124506,755
2020-06-25,125058,552
2020-06-26,125688,630
2020-06-27,126188,500
2020-06-28,126512,324
2020-06-29,126881,369
2020-06-30,127432,551
2020-07-01,128134,702
2020-07-02,128883,749
2020-07-03,129561,678
2020-07-04,129872,311
2020-07-05,130201,329
2020-07-06,130582,381
2020-07-07,131723,1141
2020-07-08,132562,839
2020-07-09,133601,1039
2020-07-10,134407,806
2020-07-11,135167,760
2020-07-12,135640,473
2020-07-13,136084,444
2020-07-14,136988,904
2020-07-15,137942,954
2020-07-16,138921,979
2020-07-17,139844,923
2020-07-18,140733,889
2020-07-19,141215,482
2020-07-20,141750,535
2020-07-21,142845,1095
2020-07-22,144066,1221
2020-07-23,145139,1073
2020-07-24,146232,1093
2020-07-25,147196,964
2020-07-26,147744,548
2020-07-27,148848,1104
2020-07-28,150063,1215
2020-07-29,151495,1432
2020-07-30,152808,1313
2020-07-31,153969,1161
2020-08-01,155090,1121
2020-08-02,155566,476
2020-08-03,156127,561
2020-08-04,157375,1248
2020-08-05,158790,1415
2020-08-06,159971,1181
2020-08-07,161266,1295
2020-08-08,162356,1090
2020-08-09,162937,581
2020-08-10,163465,528
2020-08-11,164545,1080
2020-08-12,166049,1504
2020-08-13,167077,1028
2020-08-14,168380,1303
2020-08-15,169423,1043
2020-08-16,170034,611
2020-08-17,170513,479
2020-08-18,171742,1229
2020-08-19,172421,679
2020-08-20,173519,1098
2020-08-21,174616,1097
2020-08-22,175578,962
2020-08-23,176080,502
2020-08-24,176511,431
2020-08-25,177729,1218
2020-08-26,178882,1153
2020-08-27,179990,1108
2020-08-28,180906,916
2020-08-29,181869,963
2020-08-30,182309,440
2020-08-31,182794,485
2020-09-01,183855,1061
2020-09-02,184927,1072
2020-09-03,185950,1023
2020-09-04,186900,950
2020-09-05,187691,791
2020-09-06,188129,438
2020-09-07,188452,323
2020-09-08,188921,469
2020-09-09,190021,1100
2020-09-10,190930,909
2020-09-11,192072,1142
2020-09-12,192810,738
2020-09-13,193202,392
2020-09-14,193626,424
2020-09-15,194811,1185
2020-09-16,195741,930
2020-09-17,196587,846
2020-09-18,197542,955
2020-09-19,198207,665
2020-09-20,198474,267
2020-09-21,198885,411
2020-09-22,199907,1022
2020-09-23,200959,1052
2020-09-24,201845,886
2020-09-25,202758,913
2020-09-26,203521,763
2020-09-27,203825,304
2020-09-28,204159,334
2020-09-29,205052,893
2020-09-30,205957,905
2020-10-01,206852,895
2020-10-02,207741,889
2020-10-03,208413,672
2020-10-04,208783,370
2020-10-05,209258,475
2020-10-06,209945,687
2020-10-07,210847,902
2020-10-08,211823,976
2020-10-09,212786,963
2020-10-10,213434,648
2020-10-11,213897,463
2020-10-12,214290,393
2020-10-13,215022,732
2020-10-14,216010,988
2020-10-15,216849,839
2020-10-16,217772,923
2020-10-17,218561,789
2020-10-18,219042,481
2020-10-19,219552,510
2020-10-20,220500,948
2020-10-21,221662,1162
2020-10-22,222519,857
2020-10-23,223473,954
2020-10-24,224444,971
2020-10-25,224897,453
2020-10-26,225456,559
2020-10-27,226476,1020
2020-10-28,227516,1040
2020-10-29,228510,994
2020-10-30,229582,1072
2020-10-31,230520,938
2020-11-01,231029,509
2020-11-02,231752,723
2020-11-03,233376,1624
2020-11-04,234488,1112
2020-11-05,235671,1183
2020-11-06,236885,1214
2020-11-07,238011,1126
2020-11-08,238587,576
2020-11-09,239390,803
2020-11-10,240824,1434
2020-11-11,242287,1463
2020-11-12,243525,1238
2020-11-13,244749,1224
2020-11-14,246120,1371
2020-11-15,246908,788
2020-11-16,247782,874
2020-11-17,249523,1741
2020-11-18,251456,1933
2020-11-19,253468,2012
2020-11-20,255439,1971
2020-11-21,257072,1633
2020-11-22,258148,1076
2020-11-23,259286,1138
2020-11-24,261462,2176
2020-11-25,263717,2255
2020-11-26,265117,1400
2020-11-27,266737,1620
2020-11-28,268148,1411
2020-11-29,269192,1044
2020-11-30,270569,1377
2020-12-01,273099,2530
2020-12-02,275940,2841
2020-12-03,278845,2905
2020-12-04,281505,2660
2020-12-05,283901,2396
2020-12-06,285323,1422
2020-12-07,286953,1630
2020-12-08,289554,2601
2020-12-09,292486,2932
2020-12-10,295398,2912
2020-12-11,298729,3331
2020-12-12,301236,2507
2020-12-13,302831,1595
2020-12-14,304528,1697
2020-12-15,307426,2898
2020-12-16,311092,3666
2020-12-17,314505,3413
2020-12-18,317433,2928
2020-12-19,320170,2737
2020-12-20,321869,1699
2020-12-21,323695,1826
2020-12-22,327023,3328
2020-12-23,330326,3303
2020-12-24,333187,2861
2020-12-25,334690,1503
2020-12-26,336601,1911
2020-12-27,338036,1435
2020-12-28,339936,1900
2020-12-29,343506,3570
2020-12-30,347356,3850
2020-12-31,350604,3248
2021-01-01,352813,2209
2021-01-02,355409,2596
2021-01-03,356837,1428
2021-01-04,358853,2016
2021-01-05,362429,3576
2021-01-06,366299,3870
2021-01-07,370292,3993
2021-01-08,374520,4228
2021-01-09,377651,3131
2021-01-10,379743,2092
2021-01-11,381594,1851
